ind;Corpus;Volume;Date;Type1
_iiif_2_pics__133__K.._MOM-Bilddateien._~Seitenstettenjpgweb._~StAS_Eigene_Urkunden_1335_02_20-2.jpg_full_full_0_default.jpg;MOMCA;;;
_iiif_2_pics__133__K.._MOM-Bilddateien._~Seitenstettenjpgweb._~StAS_Eigene_Urkunden_1335_03_25.jpg_full_full_0_default.jpg;MOMCA;;;
_iiif_2_pics__133__K.._MOM-Bilddateien._~Seitenstettenjpgweb._~StAS_Eigene_Urkunden_1335_08_14.jpg_full_full_0_default.jpg;MOMCA;;;
_iiif_2_pics__133__K.._MOM-Bilddateien._~Seitenstettenjpgweb._~StAS_Eigene_Urkunden_1335_08_17-1.jpg_full_full_0_default.jpg;MOMCA;;;
_iiif_2_pics__133__K.._MOM-Bilddateien._~Seitenstettenjpgweb._~StAS_Eigene_Urkunden_1335_08_17-2.jpg_full_full_0_default.jpg;MOMCA;;;
_iiif_2_pics__133__K.._MOM-Bilddateien._~Seitenstettenjpgweb._~StAS_Eigene_Urkunden_1335_09_29.jpg_full_full_0_default.jpg;MOMCA;;;
_iiif_2_pics__133__K.._MOM-Bilddateien._~Seitenstettenjpgweb._~StAS_Eigene_Urkunden_1337_03_25-1.jpg_full_full_0_default.jpg;MOMCA;;;
_iiif_2_pics__133__K.._MOM-Bilddateien._~Seitenstettenjpgweb._~StAS_Eigene_Urkunden_1337_03_25-2.jpg_full_full_0_default.jpg;MOMCA;;;
_iiif_2_pics__133__K.._MOM-Bilddateien._~Seitenstettenjpgweb._~StAS_Eigene_Urkunden_1338_10_17.jpg_full_full_0_default.jpg;MOMCA;;;
_iiif_2_pics__133__K.._MOM-Bilddateien._~Seitenstettenjpgweb._~StAS_Eigene_Urkunden_1339_03_25.jpg_full_full_0_default.jpg;MOMCA;;;
_iiif_2_pics__133__K.._MOM-Bilddateien._~Seitenstettenjpgweb._~StAS_Eigene_Urkunden_1339_10_21.jpg_full_full_0_default.jpg;MOMCA;;;
_iiif_2_pics__133__K.._MOM-Bilddateien._~Seitenstettenjpgweb._~StAS_Eigene_Urkunden_1339_11_12.jpg_full_full_0_default.jpg;MOMCA;;;
_iiif_2_pics__133__K.._MOM-Bilddateien._~Seitenstettenjpgweb._~StAS_Eigene_Urkunden_1339_12_06.jpg_full_full_0_default.jpg;MOMCA;;;
_iiif_2_pics__133__K.._MOM-Bilddateien._~Seitenstettenjpgweb._~StAS_Eigene_Urkunden_1341_03_03.jpg_full_full_0_default.jpg;MOMCA;;;
_iiif_2_pics__133__K.._MOM-Bilddateien._~Seitenstettenjpgweb._~StAS_Eigene_Urkunden_1341_11_01.jpg_full_full_0_default.jpg;MOMCA;;;
_iiif_2_pics__133__K.._MOM-Bilddateien._~Seitenstettenjpgweb._~StAS_Eigene_Urkunden_1342_06_24.jpg_full_full_0_default.jpg;MOMCA;;;
_iiif_2_pics__133__K.._MOM-Bilddateien._~Seitenstettenjpgweb._~StAS_Eigene_Urkunden_1342_07_09.jpg_full_full_0_default.jpg;MOMCA;;;
_iiif_2_pics__133__K.._MOM-Bilddateien._~Seitenstettenjpgweb._~StAS_Eigene_Urkunden_1343_03_03.jpg_full_full_0_default.jpg;MOMCA;;;
_iiif_2_pics__133__K.._MOM-Bilddateien._~Seitenstettenjpgweb._~StAS_Eigene_Urkunden_1343_04_24.jpg_full_full_0_default.jpg;MOMCA;;;
_iiif_2_pics__133__K.._MOM-Bilddateien._~Seitenstettenjpgweb._~StAS_Eigene_Urkunden_1343_12_13.jpg_full_full_0_default.jpg;MOMCA;;;
_iiif_2_pics__133__K.._MOM-Bilddateien._~Seitenstettenjpgweb._~StAS_Eigene_Urkunden_1346_07_12.jpg_full_full_0_default.jpg;MOMCA;;;
_iiif_2_pics__133__K.._MOM-Bilddateien._~Seitenstettenjpgweb._~StAS_Eigene_Urkunden_1347_05_28.jpg_full_full_0_default.jpg;MOMCA;;;
_iiif_2_pics__133__K.._MOM-Bilddateien._~Seitenstettenjpgweb._~StAS_Eigene_Urkunden_1347_05_28-2.jpg_full_full_0_default.jpg;MOMCA;;;
_iiif_2_pics__133__K.._MOM-Bilddateien._~Seitenstettenjpgweb._~StAS_Eigene_Urkunden_1348_03_25-1.jpg_full_full_0_default.jpg;MOMCA;;;
_iiif_2_pics__133__K.._MOM-Bilddateien._~Seitenstettenjpgweb._~StAS_Eigene_Urkunden_1348_03_25-2.jpg_full_full_0_default.jpg;MOMCA;;;
_iiif_2_pics__133__K.._MOM-Bilddateien._~Seitenstettenjpgweb._~StAS_Eigene_Urkunden_1348_11_11.jpg_full_full_0_default.jpg;MOMCA;;;
_iiif_2_pics__133__K.._MOM-Bilddateien._~Seitenstettenjpgweb._~StAS_Eigene_Urkunden_1349_08_24.jpg_full_full_0_default.jpg;MOMCA;;;
_iiif_2_pics__133__K.._MOM-Bilddateien._~Seitenstettenjpgweb._~StAS_Eigene_Urkunden_1350_03_07-1.jpg_full_full_0_default.jpg;MOMCA;;;
_iiif_2_pics__133__K.._MOM-Bilddateien._~Seitenstettenjpgweb._~StAS_Eigene_Urkunden_1350_03_07-2.jpg_full_full_0_default.jpg;MOMCA;;;
_iiif_2_pics__133__K.._MOM-Bilddateien._~Seitenstettenjpgweb._~StAS_Eigene_Urkunden_1354_05_15.jpg_full_full_0_default.jpg;MOMCA;;;
_iiif_2_pics__133__K.._MOM-Bilddateien._~Seitenstettenjpgweb._~StAS_Eigene_Urkunden_1355_05_31.jpg_full_full_0_default.jpg;MOMCA;;;
_iiif_2_pics__133__K.._MOM-Bilddateien._~Seitenstettenjpgweb._~StAS_Eigene_Urkunden_1356_04_11.jpg_full_full_0_default.jpg;MOMCA;;;
_iiif_2_pics__133__K.._MOM-Bilddateien._~Seitenstettenjpgweb._~StAS_Eigene_Urkunden_1357_05_30.jpg_full_full_0_default.jpg;MOMCA;;;
_iiif_2_pics__133__K.._MOM-Bilddateien._~Seitenstettenjpgweb._~StAS_Eigene_Urkunden_1357_12_10.jpg_full_full_0_default.jpg;MOMCA;;;
_iiif_2_pics__133__K.._MOM-Bilddateien._~Seitenstettenjpgweb._~StAS_Eigene_Urkunden_1358_03_11.jpg_full_full_0_default.jpg;MOMCA;;;
_iiif_2_pics__133__K.._MOM-Bilddateien._~Seitenstettenjpgweb._~StAS_Eigene_Urkunden_1358_06_07.jpg_full_full_0_default.jpg;MOMCA;;;
_iiif_2_pics__133__K.._MOM-Bilddateien._~Seitenstettenjpgweb._~StAS_Eigene_Urkunden_1359_08_18.jpg_full_full_0_default.jpg;MOMCA;;;
_iiif_2_pics__133__K.._MOM-Bilddateien._~Seitenstettenjpgweb._~StAS_Eigene_Urkunden_1360_08_30.jpg_full_full_0_default.jpg;MOMCA;;;
_iiif_2_pics__133__K.._MOM-Bilddateien._~Seitenstettenjpgweb._~StAS_Eigene_Urkunden_1361_02_05.jpg_full_full_0_default.jpg;MOMCA;;;
_iiif_2_pics__133__K.._MOM-Bilddateien._~Seitenstettenjpgweb._~StAS_Eigene_Urkunden_1363_02_27.jpg_full_full_0_default.jpg;MOMCA;;;
_iiif_2_pics__133__K.._MOM-Bilddateien._~Seitenstettenjpgweb._~StAS_Eigene_Urkunden_1363_04_27.jpg_full_full_0_default.jpg;MOMCA;;;
_iiif_2_pics__133__K.._MOM-Bilddateien._~Seitenstettenjpgweb._~StAS_Eigene_Urkunden_1363_07_13.jpg_full_full_0_default.jpg;MOMCA;;;
_iiif_2_pics__133__K.._MOM-Bilddateien._~Seitenstettenjpgweb._~StAS_Eigene_Urkunden_1366_06_22.jpg_full_full_0_default.jpg;MOMCA;;;
_iiif_2_pics__133__K.._MOM-Bilddateien._~Seitenstettenjpgweb._~StAS_Eigene_Urkunden_1366_12_21.jpg_full_full_0_default.jpg;MOMCA;;;
_iiif_2_pics__133__K.._MOM-Bilddateien._~Seitenstettenjpgweb._~StAS_Eigene_Urkunden_1367_01_25.jpg_full_full_0_default.jpg;MOMCA;;;
_iiif_2_pics__133__K.._MOM-Bilddateien._~Seitenstettenjpgweb._~StAS_Eigene_Urkunden_1369_01_21.jpg_full_full_0_default.jpg;MOMCA;;;
_iiif_2_pics__133__K.._MOM-Bilddateien._~Seitenstettenjpgweb._~StAS_Eigene_Urkunden_1369_02_21.jpg_full_full_0_default.jpg;MOMCA;;;
_iiif_2_pics__133__K.._MOM-Bilddateien._~Seitenstettenjpgweb._~StAS_Eigene_Urkunden_1370_04_20.jpg_full_full_0_default.jpg;MOMCA;;;
_iiif_2_pics__133__K.._MOM-Bilddateien._~Seitenstettenjpgweb._~StAS_Eigene_Urkunden_1370_05_04.jpg_full_full_0_default.jpg;MOMCA;;;
_iiif_2_pics__133__K.._MOM-Bilddateien._~Seitenstettenjpgweb._~StAS_Eigene_Urkunden_1370_11_19.jpg_full_full_0_default.jpg;MOMCA;;;
_iiif_2_pics__133__K.._MOM-Bilddateien._~Seitenstettenjpgweb._~StAS_Eigene_Urkunden_1371_10_21.jpg_full_full_0_default.jpg;MOMCA;;;
_iiif_2_pics__133__K.._MOM-Bilddateien._~Seitenstettenjpgweb._~StAS_Eigene_Urkunden_1372_05_25.jpg_full_full_0_default.jpg;MOMCA;;;
_iiif_2_pics__133__K.._MOM-Bilddateien._~Seitenstettenjpgweb._~StAS_Eigene_Urkunden_1373_07_24.jpg_full_full_0_default.jpg;MOMCA;;;
_iiif_2_pics__133__K.._MOM-Bilddateien._~Seitenstettenjpgweb._~StAS_Eigene_Urkunden_1373_09_21.jpg_full_full_0_default.jpg;MOMCA;;;
_iiif_2_pics__133__K.._MOM-Bilddateien._~Seitenstettenjpgweb._~StAS_Eigene_Urkunden_1374_10_16.jpg_full_full_0_default.jpg;MOMCA;;;
_iiif_2_pics__133__K.._MOM-Bilddateien._~Seitenstettenjpgweb._~StAS_Eigene_Urkunden_1374_12_13.jpg_full_full_0_default.jpg;MOMCA;;;
_iiif_2_pics__133__K.._MOM-Bilddateien._~Seitenstettenjpgweb._~StAS_Eigene_Urkunden_1375_01_31.jpg_full_full_0_default.jpg;MOMCA;;;
_iiif_2_pics__133__K.._MOM-Bilddateien._~Seitenstettenjpgweb._~StAS_Eigene_Urkunden_1375_02_06.jpg_full_full_0_default.jpg;MOMCA;;;
_iiif_2_pics__133__K.._MOM-Bilddateien._~Seitenstettenjpgweb._~StAS_Eigene_Urkunden_1377_05_30.jpg_full_full_0_default.jpg;MOMCA;;;
_iiif_2_pics__133__K.._MOM-Bilddateien._~Seitenstettenjpgweb._~StAS_Eigene_Urkunden_1377_11_25.jpg_full_full_0_default.jpg;MOMCA;;;
_iiif_2_pics__133__K.._MOM-Bilddateien._~Seitenstettenjpgweb._~StAS_Eigene_Urkunden_1378_12_21.jpg_full_full_0_default.jpg;MOMCA;;;
_iiif_2_pics__133__K.._MOM-Bilddateien._~Seitenstettenjpgweb._~StAS_Eigene_Urkunden_1379_01_17.jpg_full_full_0_default.jpg;MOMCA;;;
_iiif_2_pics__133__K.._MOM-Bilddateien._~Seitenstettenjpgweb._~StAS_Eigene_Urkunden_1379_04_04.jpg_full_full_0_default.jpg;MOMCA;;;
_iiif_2_pics__133__K.._MOM-Bilddateien._~Seitenstettenjpgweb._~StAS_Eigene_Urkunden_1379_04_23.jpg_full_full_0_default.jpg;MOMCA;;;
_iiif_2_pics__133__K.._MOM-Bilddateien._~Seitenstettenjpgweb._~StAS_Eigene_Urkunden_1379_05_25.jpg_full_full_0_default.jpg;MOMCA;;;
_iiif_2_pics__133__K.._MOM-Bilddateien._~Seitenstettenjpgweb._~StAS_Eigene_Urkunden_1379_06_15.jpg_full_full_0_default.jpg;MOMCA;;;
_iiif_2_pics__133__K.._MOM-Bilddateien._~Seitenstettenjpgweb._~StAS_Eigene_Urkunden_1379_07_28.jpg_full_full_0_default.jpg;MOMCA;;;
_iiif_2_pics__133__K.._MOM-Bilddateien._~Seitenstettenjpgweb._~StAS_Eigene_Urkunden_1379_11_15.jpg_full_full_0_default.jpg;MOMCA;;;
_iiif_2_pics__133__K.._MOM-Bilddateien._~Seitenstettenjpgweb._~StAS_Eigene_Urkunden_1380_02_10.jpg_full_full_0_default.jpg;MOMCA;;;
_iiif_2_pics__133__K.._MOM-Bilddateien._~Seitenstettenjpgweb._~StAS_Eigene_Urkunden_1380_04_03.jpg_full_full_0_default.jpg;MOMCA;;;
_iiif_2_pics__133__K.._MOM-Bilddateien._~Seitenstettenjpgweb._~StAS_Eigene_Urkunden_1380_04_29.jpg_full_full_0_default.jpg;MOMCA;;;
_iiif_2_pics__133__K.._MOM-Bilddateien._~Seitenstettenjpgweb._~StAS_Eigene_Urkunden_1380_05_12.jpg_full_full_0_default.jpg;MOMCA;;;
_iiif_2_pics__133__K.._MOM-Bilddateien._~Seitenstettenjpgweb._~StAS_Eigene_Urkunden_1380_07_25.jpg_full_full_0_default.jpg;MOMCA;;;
_iiif_2_pics__133__K.._MOM-Bilddateien._~Seitenstettenjpgweb._~StAS_Eigene_Urkunden_1381_04_08.jpg_full_full_0_default.jpg;MOMCA;;;
_iiif_2_pics__133__K.._MOM-Bilddateien._~Seitenstettenjpgweb._~StAS_Eigene_Urkunden_1381_05_20.jpg_full_full_0_default.jpg;MOMCA;;;
_iiif_2_pics__133__K.._MOM-Bilddateien._~Seitenstettenjpgweb._~StAS_Eigene_Urkunden_1381_10_04.jpg_full_full_0_default.jpg;MOMCA;;;
_iiif_2_pics__133__K.._MOM-Bilddateien._~Seitenstettenjpgweb._~StAS_Eigene_Urkunden_1381_10_18.jpg_full_full_0_default.jpg;MOMCA;;;
_iiif_2_pics__133__K.._MOM-Bilddateien._~Seitenstettenjpgweb._~StAS_Eigene_Urkunden_1382_02_10.jpg_full_full_0_default.jpg;MOMCA;;;
_iiif_2_pics__133__K.._MOM-Bilddateien._~Seitenstettenjpgweb._~StAS_Eigene_Urkunden_1382_02_15.jpg_full_full_0_default.jpg;MOMCA;;;
_iiif_2_pics__133__K.._MOM-Bilddateien._~Seitenstettenjpgweb._~StAS_Eigene_Urkunden_1382_03_03.jpg_full_full_0_default.jpg;MOMCA;;;
_iiif_2_pics__133__K.._MOM-Bilddateien._~Seitenstettenjpgweb._~StAS_Eigene_Urkunden_1382_12_19.jpg_full_full_0_default.jpg;MOMCA;;;
_iiif_2_pics__133__K.._MOM-Bilddateien._~Seitenstettenjpgweb._~StAS_Eigene_Urkunden_1383_04_04.jpg_full_full_0_default.jpg;MOMCA;;;
_iiif_2_pics__133__K.._MOM-Bilddateien._~Seitenstettenjpgweb._~StAS_Eigene_Urkunden_1383_06_15.jpg_full_full_0_default.jpg;MOMCA;;;
_iiif_2_pics__133__K.._MOM-Bilddateien._~Seitenstettenjpgweb._~StAS_Eigene_Urkunden_1383_07_17.jpg_full_full_0_default.jpg;MOMCA;;;
_iiif_2_pics__133__K.._MOM-Bilddateien._~Seitenstettenjpgweb._~StAS_Eigene_Urkunden_1384_04_24.jpg_full_full_0_default.jpg;MOMCA;;;
_iiif_2_pics__133__K.._MOM-Bilddateien._~Seitenstettenjpgweb._~StAS_Eigene_Urkunden_1384_06_15.jpg_full_full_0_default.jpg;MOMCA;;;
_iiif_2_pics__133__K.._MOM-Bilddateien._~Seitenstettenjpgweb._~StAS_Eigene_Urkunden_1384_07_12.jpg_full_full_0_default.jpg;MOMCA;;;
_iiif_2_pics__133__K.._MOM-Bilddateien._~Seitenstettenjpgweb._~StAS_Eigene_Urkunden_1384_08_18.jpg_full_full_0_default.jpg;MOMCA;;;
_iiif_2_pics__133__K.._MOM-Bilddateien._~Seitenstettenjpgweb._~StAS_Eigene_Urkunden_1384_09_30.jpg_full_full_0_default.jpg;MOMCA;;;
_iiif_2_pics__133__K.._MOM-Bilddateien._~Seitenstettenjpgweb._~StAS_Eigene_Urkunden_1384_11_19.jpg_full_full_0_default.jpg;MOMCA;;;
_iiif_2_pics__133__K.._MOM-Bilddateien._~Seitenstettenjpgweb._~StAS_Eigene_Urkunden_1385_02_26.jpg_full_full_0_default.jpg;MOMCA;;;
_iiif_2_pics__133__K.._MOM-Bilddateien._~Seitenstettenjpgweb._~StAS_Eigene_Urkunden_1385_03_14.jpg_full_full_0_default.jpg;MOMCA;;;
_iiif_2_pics__133__K.._MOM-Bilddateien._~Seitenstettenjpgweb._~StAS_Eigene_Urkunden_1385_06_12.jpg_full_full_0_default.jpg;MOMCA;;;
_iiif_2_pics__133__K.._MOM-Bilddateien._~Seitenstettenjpgweb._~StAS_Eigene_Urkunden_1385_07_17.jpg_full_full_0_default.jpg;MOMCA;;;
_iiif_2_pics__133__K.._MOM-Bilddateien._~Seitenstettenjpgweb._~StAS_Eigene_Urkunden_1385_08_10.jpg_full_full_0_default.jpg;MOMCA;;;
_iiif_2_pics__133__K.._MOM-Bilddateien._~Seitenstettenjpgweb._~StAS_Eigene_Urkunden_1385_12_06.jpg_full_full_0_default.jpg;MOMCA;;;
_iiif_2_pics__133__K.._MOM-Bilddateien._~Seitenstettenjpgweb._~StAS_Eigene_Urkunden_1385_12_13.jpg_full_full_0_default.jpg;MOMCA;;;
_iiif_2_pics__133__K.._MOM-Bilddateien._~Seitenstettenjpgweb._~StAS_Eigene_Urkunden_1385-1390_00_00.jpg_full_full_0_default.jpg;MOMCA;;;
_iiif_2_pics__133__K.._MOM-Bilddateien._~Seitenstettenjpgweb._~StAS_Eigene_Urkunden_1386_02_14.jpg_full_full_0_default.jpg;MOMCA;;;
_iiif_2_pics__133__K.._MOM-Bilddateien._~Seitenstettenjpgweb._~StAS_Eigene_Urkunden_1386_04_05.jpg_full_full_0_default.jpg;MOMCA;;;
_iiif_2_pics__133__K.._MOM-Bilddateien._~Seitenstettenjpgweb._~StAS_Eigene_Urkunden_1386_04_24.jpg_full_full_0_default.jpg;MOMCA;;;
_iiif_2_pics__133__K.._MOM-Bilddateien._~Seitenstettenjpgweb._~StAS_Eigene_Urkunden_1386_08_06.jpg_full_full_0_default.jpg;MOMCA;;;
_iiif_2_pics__133__K.._MOM-Bilddateien._~Seitenstettenjpgweb._~StAS_Eigene_Urkunden_1386_09_01.jpg_full_full_0_default.jpg;MOMCA;;;
_iiif_2_pics__133__K.._MOM-Bilddateien._~Seitenstettenjpgweb._~StAS_Eigene_Urkunden_1386_11_10.jpg_full_full_0_default.jpg;MOMCA;;;
_iiif_2_pics__133__K.._MOM-Bilddateien._~Seitenstettenjpgweb._~StAS_Eigene_Urkunden_1387_05_25.jpg_full_full_0_default.jpg;MOMCA;;;
_iiif_2_pics__133__K.._MOM-Bilddateien._~Seitenstettenjpgweb._~StAS_Eigene_Urkunden_1387_11_19.jpg_full_full_0_default.jpg;MOMCA;;;
_iiif_2_pics__133__K.._MOM-Bilddateien._~Seitenstettenjpgweb._~StAS_Eigene_Urkunden_1389_06_15.jpg_full_full_0_default.jpg;MOMCA;;;
_iiif_2_pics__133__K.._MOM-Bilddateien._~Seitenstettenjpgweb._~StAS_Eigene_Urkunden_1390_08_07.jpg_full_full_0_default.jpg;MOMCA;;;
_iiif_2_pics__133__K.._MOM-Bilddateien._~Seitenstettenjpgweb._~StAS_Eigene_Urkunden_1390_11_11.jpg_full_full_0_default.jpg;MOMCA;;;
_iiif_2_pics__133__K.._MOM-Bilddateien._~Seitenstettenjpgweb._~StAS_Eigene_Urkunden_1391_07_22.jpg_full_full_0_default.jpg;MOMCA;;;
_iiif_2_pics__133__K.._MOM-Bilddateien._~Seitenstettenjpgweb._~StAS_Eigene_Urkunden_1392_02_19.jpg_full_full_0_default.jpg;MOMCA;;;
_iiif_2_pics__133__K.._MOM-Bilddateien._~Seitenstettenjpgweb._~StAS_Eigene_Urkunden_1392_09_27.jpg_full_full_0_default.jpg;MOMCA;;;
_iiif_2_pics__133__K.._MOM-Bilddateien._~Seitenstettenjpgweb._~StAS_Eigene_Urkunden_1393_01_18.jpg_full_full_0_default.jpg;MOMCA;;;
_iiif_2_pics__133__K.._MOM-Bilddateien._~Seitenstettenjpgweb._~StAS_Eigene_Urkunden_1393_04_04.jpg_full_full_0_default.jpg;MOMCA;;;
_iiif_2_pics__133__K.._MOM-Bilddateien._~Seitenstettenjpgweb._~StAS_Eigene_Urkunden_1393_04_13.jpg_full_full_0_default.jpg;MOMCA;;;
_iiif_2_pics__133__K.._MOM-Bilddateien._~Seitenstettenjpgweb._~StAS_Eigene_Urkunden_1394_04_23.jpg_full_full_0_default.jpg;MOMCA;;;
_iiif_2_pics__133__K.._MOM-Bilddateien._~Seitenstettenjpgweb._~StAS_Eigene_Urkunden_1394_12_04.jpg_full_full_0_default.jpg;MOMCA;;;
_iiif_2_pics__133__K.._MOM-Bilddateien._~Seitenstettenjpgweb._~StAS_Eigene_Urkunden_1397_01_11.jpg_full_full_0_default.jpg;MOMCA;;;
_iiif_2_pics__133__K.._MOM-Bilddateien._~Seitenstettenjpgweb._~StAS_Eigene_Urkunden_1397_06_05.jpg_full_full_0_default.jpg;MOMCA;;;
_iiif_2_pics__133__K.._MOM-Bilddateien._~Seitenstettenjpgweb._~StAS_Eigene_Urkunden_1397_06_15.jpg_full_full_0_default.jpg;MOMCA;;;
_iiif_2_pics__133__K.._MOM-Bilddateien._~Seitenstettenjpgweb._~StAS_Eigene_Urkunden_1397_06_20.jpg_full_full_0_default.jpg;MOMCA;;;
_iiif_2_pics__133__K.._MOM-Bilddateien._~Seitenstettenjpgweb._~StAS_Eigene_Urkunden_ca_1300-1.jpg_full_full_0_default.jpg;MOMCA;;;
_iiif_2_pics__148__K.._MOM-Bilddateien._~Heiligenkreuzjpgweb._~StAH__12720000-1276.jpg_full_full_0_default.jpg;MOMCA;;;
_iiif_2_pics__148__K.._MOM-Bilddateien._~Heiligenkreuzjpgweb._~StAH__12770218-1.jpg_full_full_0_default.jpg;MOMCA;;;
_iiif_2_pics__148__K.._MOM-Bilddateien._~Heiligenkreuzjpgweb._~StAH__12770218-2.jpg_full_full_0_default.jpg;MOMCA;;;
_iiif_2_pics__148__K.._MOM-Bilddateien._~Heiligenkreuzjpgweb._~StAH__12770412.jpg_full_full_0_default.jpg;MOMCA;;;
_iiif_2_pics__148__K.._MOM-Bilddateien._~Heiligenkreuzjpgweb._~StAH__12830314.jpg_full_full_0_default.jpg;MOMCA;;;
_iiif_2_pics__148__K.._MOM-Bilddateien._~Heiligenkreuzjpgweb._~StAH__12871013-1.jpg_full_full_0_default.jpg;MOMCA;;;
_iiif_2_pics__148__K.._MOM-Bilddateien._~Heiligenkreuzjpgweb._~StAH__12871013-2.jpg_full_full_0_default.jpg;MOMCA;;;
_iiif_2_pics__148__K.._MOM-Bilddateien._~Heiligenkreuzjpgweb._~StAH__12890000.jpg_full_full_0_default.jpg;MOMCA;;;
_iiif_2_pics__148__K.._MOM-Bilddateien._~Heiligenkreuzjpgweb._~StAH__13031224.jpg_full_full_0_default.jpg;MOMCA;;;
_iiif_2_pics__148__K.._MOM-Bilddateien._~Heiligenkreuzjpgweb._~StAH__13040202.jpg_full_full_0_default.jpg;MOMCA;;;
_iiif_2_pics__148__K.._MOM-Bilddateien._~Heiligenkreuzjpgweb._~StAH__13120501.jpg_full_full_0_default.jpg;MOMCA;;;
_iiif_2_pics__148__K.._MOM-Bilddateien._~Heiligenkreuzjpgweb._~StAH__13160413.jpg_full_full_0_default.jpg;MOMCA;;;
_iiif_2_pics__148__K.._MOM-Bilddateien._~Heiligenkreuzjpgweb._~StAH__13191010.jpg_full_full_0_default.jpg;MOMCA;;;
_iiif_2_pics__148__K.._MOM-Bilddateien._~Heiligenkreuzjpgweb._~StAH__13481115.jpg_full_full_0_default.jpg;MOMCA;;;
_iiif_2_pics__148__K.._MOM-Bilddateien._~Heiligenkreuzjpgweb._~StAH__13570119.jpg_full_full_0_default.jpg;MOMCA;;;
_iiif_2_pics__148__K.._MOM-Bilddateien._~Heiligenkreuzjpgweb._~StAH__13570615.jpg_full_full_0_default.jpg;MOMCA;;;
_iiif_2_pics__148__K.._MOM-Bilddateien._~Heiligenkreuzjpgweb._~StAH__13610727.jpg_full_full_0_default.jpg;MOMCA;;;
_iiif_2_pics__148__K.._MOM-Bilddateien._~Heiligenkreuzjpgweb._~StAH__13640525.jpg_full_full_0_default.jpg;MOMCA;;;
_iiif_2_pics__148__K.._MOM-Bilddateien._~Heiligenkreuzjpgweb._~StAH__13670525-1.jpg_full_full_0_default.jpg;MOMCA;;;
_iiif_2_pics__148__K.._MOM-Bilddateien._~Heiligenkreuzjpgweb._~StAH__13670525-2.jpg_full_full_0_default.jpg;MOMCA;;;
_iiif_2_pics__148__K.._MOM-Bilddateien._~Heiligenkreuzjpgweb._~StAH__13700613.jpg_full_full_0_default.jpg;MOMCA;;;
_iiif_2_pics__148__K.._MOM-Bilddateien._~Heiligenkreuzjpgweb._~StAH__13700821.jpg_full_full_0_default.jpg;MOMCA;;;
_iiif_2_pics__148__K.._MOM-Bilddateien._~Heiligenkreuzjpgweb._~StAH__13710522.jpg_full_full_0_default.jpg;MOMCA;;;
_iiif_2_pics__148__K.._MOM-Bilddateien._~Heiligenkreuzjpgweb._~StAH__13720528.jpg_full_full_0_default.jpg;MOMCA;;;
_iiif_2_pics__148__K.._MOM-Bilddateien._~Heiligenkreuzjpgweb._~StAH__13750414.jpg_full_full_0_default.jpg;MOMCA;;;
_iiif_2_pics__148__K.._MOM-Bilddateien._~Heiligenkreuzjpgweb._~StAH__13850201.jpg_full_full_0_default.jpg;MOMCA;;;
_iiif_2_pics__148__K.._MOM-Bilddateien._~Heiligenkreuzjpgweb._~StAH__13920520.jpg_full_full_0_default.jpg;MOMCA;;;
_iiif_2_pics__148__K.._MOM-Bilddateien._~Heiligenkreuzjpgweb._~StAH__13960517-1.jpg_full_full_0_default.jpg;MOMCA;;;
_iiif_2_pics__148__K.._MOM-Bilddateien._~Heiligenkreuzjpgweb._~StAH__13960517-2.jpg_full_full_0_default.jpg;MOMCA;;;
_iiif_2_pics__148__K.._MOM-Bilddateien._~Heiligenkreuzjpgweb._~StAH__14111204.jpg_full_full_0_default.jpg;MOMCA;;;
_iiif_2_pics__148__K.._MOM-Bilddateien._~Heiligenkreuzjpgweb._~StAH__14150805.jpg_full_full_0_default.jpg;MOMCA;;;
_iiif_2_pics__148__K.._MOM-Bilddateien._~Heiligenkreuzjpgweb._~StAH__14330721.jpg_full_full_0_default.jpg;MOMCA;;;
_iiif_2_pics__148__K.._MOM-Bilddateien._~Heiligenkreuzjpgweb._~StAH__14450614.jpg_full_full_0_default.jpg;MOMCA;;;
_iiif_2_pics__148__K.._MOM-Bilddateien._~Heiligenkreuzjpgweb._~StAH__14881228.jpg_full_full_0_default.jpg;MOMCA;;;
_iiif_2_pics__166__K.._MOM-Bilddateien._~Zwettljpgweb._~1055-1299._~StAZ__1215vor_1198bis1217.jpg_full_full_0_default.jpg;MOMCA;;;
_iiif_2_pics__166__K.._MOM-Bilddateien._~Zwettljpgweb._~1055-1299._~StAZ__1217.jpg_full_full_0_default.jpg;MOMCA;;;
_iiif_2_pics__166__K.._MOM-Bilddateien._~Zwettljpgweb._~1055-1299._~StAZ__1252-1.jpg_full_full_0_default.jpg;MOMCA;;;
_iiif_2_pics__166__K.._MOM-Bilddateien._~Zwettljpgweb._~1055-1299._~StAZ__12710710-2.jpg_full_full_0_default.jpg;MOMCA;;;
_iiif_2_pics__213__K.._MOM-Bilddateien._~BayHStajpgweb._~Windberg._~BayHStA-KUWindberg_1233~12339999_0015_r.jpg_full_full_0_default.jpg;MOMCA;;;
_iiif_2_pics__213__K.._MOM-Bilddateien._~BayHStajpgweb._~Windberg._~BayHStA-KUWindberg_12830624_0026_r.jpg_full_full_0_default.jpg;MOMCA;;;
_iiif_2_pics__213__K.._MOM-Bilddateien._~BayHStajpgweb._~Windberg._~BayHStA-KUWindberg_12831006_0027_r.jpg_full_full_0_default.jpg;MOMCA;;;
